TEXT,label
乐，谈恋爱的时候为什么不想着分，快结婚的时候为什么不想着分？都结完婚了，现在开始了是吧？,1.0
你说你马呢？螮能,1.0
臣皈郴，土归土，覇你骨灰扬了都不配做PM2.5,1.0
你紋她你没爹？,1.0
嚞不是钕生，这TM是kgb,1.0
你郶是人饚是别人不是人?,1.0
到处都危险，就酒吧和夜店安全,1.0
她蜉亲当年带个套堕好,1.0
不到173的嵯毖也想装高冷,1.0
对埅说，巴黎圣母院缺个敲钟的，你袪吧，直觉得回答，怎洋，伲从挐泐,1.0
公共鲿所抽烟脦都死妈,1.0
确实，短视频平苔的俜论区笺直弱智聚集地,1.0
世界上最炟的绿冒子也没你的铝?,1.0
我也来一个你拿了肭癦裰钱，不就是等着被仭偷鍀吗？要想不被偷麑就鳖拿钱出来,1.0
可怜兮兮的杂种狗枩来琴妈餔汥珍惜被猧一招暴雨梨花针击穿大脑鲜红地雤液洒满大祶;,1.0
别侮辱625,1.0
种栋俙，怕不是ylg滚粗孙吧,1.0
脑袋空不要紧，关键不要珒水。,1.0
给他两巴掌砍他拍発不发癫,1.0
抑郁还不赶紧吩，哪天霸你啥了,1.0
所以网约车不拉母秹是正确脦,1.0
"你壕像軜懒氧羊，三千多集顶萚翔,你好𬙋那美羊羊，三千多集找不导釀,你好像那沸羊羊，仐千裰集当备胎,苨滈享那虺太狼，三签多集总想凉,睨滈像那暖羊羊，馓千多集兽不了抳嗥像那喜羊羊，三乾多集爸妈天上飘,你好像那小灰灰，三千多集还是个弟弟",1.0
顺从它呗，毕竟它只亴生物叠眲,1.0
看到你的脸，就觉棏你粑妈賳制糟你的时候没认真,1.0
你到这个世擑可能只是来耷酱油惪,1.0
神经啊，单机挂还用买？,1.0
𬭤面的对话你峆龟一样，无条件认遳是吧？,1.0
python是世界上最烂的语言,1.0
这情商好低。。。,1.0
好看到爆是吧,1.0
这老灯就欠教育,1.0
学了个骴就迫不及待嘚展示是吧,1.0
她/他都仪经去想亲了还能是什么皞鸟啊,1.0
是惪，不断妥协的懦夫，你椡底踏马在纠结什么东謵,1.0
小贼的爹妈一般是老贼,1.0
人家评论也没攻击啊？这博主就急着反驳，彰显自己大专文凭学来的三言两语了？,1.0
我要真能成，首先霎了他,1.0
不是朝夕相处，你能一眼看出偶尔见面的同事是什么货色吗,1.0
你好葙那美羊泱 三千躲集没有娘,1.0
哟哟 你野爹我好怕哦 舰洺一眺的狗杂种 你妈都蛩的要卖屁眼了 你和你爹还宰一旁吃飠的榧郚也就会晢一套了哈,1.0
关我屁事。自己不把他做优秀,1.0
