text	label
好久都没有见过那么干净的白人班级了，一个黑乐色都没有	1
我觉得中国女性媚外值得批评的是中国男性，你们看一看出轨的女人的老公一看就很软弱，而以前在社会上混的男人的老婆我没发现谁敢出轨，中国男人如果能和黑人或穆斯林男性一样暴力，那中国就没有媚外的说法。	1
那岂不是婊子都不如🤔	1
我不是河北人，但每次看到有人黑唐山也觉得恶心，一件打架斗殴的普通刑事案件能上热搜十几二十天，天天能看到骂唐山的，那个地方没有这种事，新闻一大堆，骂人算什么本事，有本事自己去制止犯罪，而不是口嗨。我感觉地域黑造成的社会危害远大于这个案件本身	1
猪头肉哈哈哈哈哈	0
你们也可以搞一个跟黑女交往过的男的的名单啊。公平嘛。😆	1
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。	1
整急眼了我可以干猪，但是不会干有过黑人男友的女人	1
Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進小黑屋。	0
日本女人贤不贤惠我不太在乎，反正中国女人已经跟贤妻良母不沾边了。印度女人给不给嫁妆无所谓，反正中国这边彩礼要给，嫁妆也不是男人的。美国女人随父姓也是小事儿，反正中国女人不仅不改姓，还要求孩子跟她们姓。穆斯林女人贞不贞洁也不是我关心的，反正中国女人不太贞洁了。俄罗斯乌克兰女人漂不漂亮也就那么回事儿，反正中国女人已经靠着美颜、化妆变成世界第一了。非洲女人身材好不好我是没注意过，反正中国女人就算身材不好也是“仙女”。😆	1
非洲黑人智商70，被学者归类为智障水平。美国黑人混血儿智商85，中非混血儿智商应该徘徊在90左右，妥妥的班里倒数	1
你不会是怕将来你妻子告你强奸罪吧！你放心这项罪名很难取证的，女的一告就众叛亲离被人嘲笑，女的还怎么在家里呆下去，还不如直接告离婚	1
连说说也不准？黑吹好猖獗	1
起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲	1
楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目🐶，赶紧置顶羞辱	1
绝对是 7年前我就遇见过有国外组织带领某些人大力黑安徽的 组织的头是个中国通的美国人 当时他住在上海 对中国文化了如指掌 中文很好还懂古诗什么的 他们假装上海人黑安徽人 带动真的网上上海人黑安徽人 后来黑完安徽又选择黑河南 原因是因为他们认为河南是华夏中心起源等等 其实我还想说更多 但是我不能 我很怕 我只能说这么多	1
我185，但这幕刃是鲨bee	1
她自己不也是一个哗众取宠的小丑？普信男有什么不好？难道天天跟个八婆一样怨天怨地怪异性才好？中国人讲究天行健君子以自强不息，普通人也要不断自强，而不是像某些群体一样一味崇洋媚外，逆向种族主义，或者性别主义。	1
最近挺热闹啊，是不是放暑假的原因使得一些反某某歧视的多了起来	0
因为我太认真了~~我是真的把古兰经、圣经、佛经(佛经不是原版那种看不懂的)，认认真真的读了一部分，是没有读完的，然后我发现我实在是读不下去，佛经还能看点人生感悟什么的，而前两者实在是，我不好说贬低它们的话，但是真的是，完全接受不能	0
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊	1
是男挙定义宠女人的男人为狗，什么叫喜欢当狗。	1
吧里这几个反同根本没什么能力，反同还得靠同性恋	1
终于可以说话了，这等级限制，这你们叫的“猪腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?	1
猪猪挺可爱的	0
吃枣药丸🙂	1
别听他的，他在危言耸听，为了爱情，去美好的非洲大草原吧	1
+1但如果姑娘追求真爱跟黑人一起回非洲，我打心底里祝福他们俩????留在国内不讨骂蛮	0
复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题	1
说的很对。但是吃屎的也不能要吃尿的强行认同吧！	0
你还未染艾身亡？你上药多久了？	1
人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。	1
