text	label
今天天气热到裂开，空调救我狗命	0
笑死，这波操作直接封神	0
懂了，现在就去删你手机里的《原神》	0
姐姐的颜值是真实存在的吗？杀疯了	0
DDL是第一生产力，诚不欺我	0
是谁羡慕了？哦，原来是我自	0
建议原地申遗，这手艺太绝了	0
啤酒泡枸杞，当代年轻人续命套餐	0
首先我没惹你们任何人.jpg	0
你这代码，鲁棒性拉满啊（竖拇指）	0
破防了，今天水逆吧救命	0
太太，饿饿，饭饭！（递碗）	0
好的老板，立刻颅内优化完毕	0
别人：精致生活；我：活着就行	0
刘畊宏女孩打卡Day5：腿已离家出走	0
团粉震怒！毒唯退退退	0
非官宣不约，抱走不送	0
前方高能预警，速速护体！	0
啊对对对，你说得都对（战术喝茶）	0
我的钱包：饿饿；购物车：炸了	0
帕梅拉：你没事吧？我：有…事…	0
间接性卷王，持续性摆烂	0
这是可以说的吗？（吃瓜探头）	0
你字多，我跟你混	0
不会吧不会吧，真有人觉得这合理？	0
XSWL，这脑洞是黑洞吧	0
别人种草我种穷，完美	0
哥哥的睫毛是夺命暗器（捂心口）	0
今日成就：呼吸（1/1）	0
尊嘟假嘟？这合理吗	0
CPU我是吧，这剧情狗都不信	0
电子榨菜续命成功，感谢下饭神剧	0
你人还怪好的嘞	0
这很难评，祝你成功	0
摸会鱼，老板看不见吧	0
重生之我在工位当蘑菇	0
又是被外卖养活的一天，感恩	0
本宫的头好痛，退下吧	0
撤回！我刚刚被夺舍了	0
这盛世如你所愿.jpg	0
一生要强的中国女人绝不认输	0
别管，我在发一种很新的疯	0
刚提的赛博功德，秒没	0
我的精神状态：美丽且稀碎	0
别问，问就是热爱工作	0
立刻撤回并假装无事发生	0
家人们谁懂啊，离大谱了	0
你这算盘打得我在火星都听见了	0
优雅，实在太优雅了	0
今日功德-1	0
本NPC决定今日不发布任务	0
你的文字还爱他，我哭了	0
我的嘴：社牛；我的脑子：社恐加载中	0
本草纲目第108遍，腿还在吗	0
这福气给你要不要啊	0
已黑化，生人勿近	0
你猜怎么着？嘿，我不说	0
人类的悲欢并不相通，而我只想干饭	0
