text	label
打你妈的哑谜，可以A了	1
分了t我，这些xxn都是被你们这些龟萳惯出来 别祸害同胞啊	1
你是数字界和英文界二把手	1
外放的都是傻狗	1
gkd，直接小丑吧	1
你才是虾头男。我要日逼就去嫖	1
不许站，跪着磕到死	1
翻个白眼  屁股抬高    舌头伸出来	1
小丑再来句急是吧？跟你这种脑子也没什么好说的了	1
死肥宅 二刺猿	1
真羡慕你的皮肤，保养得真厚。	1
有意见鳖着，不然牛牛给你嗦烂	1
脑子是个日用品，希望你不要把它当成装饰品。	1
窝囊组上大分	1
开庭≠开庭	1
中肯的 夹夹我的	1
逆天东西，早点重开吧。就这还大学生呢，智商比我家养的猪还低	1
抽空一起去吃鱼吧，看你挺会挑刺的。	1
你脖子上顶的是肿瘤吗	1
真盖斯啊还有速更爷爱看	1
我奶奶打字都比你快	1
虽然孙吧是厕所 但也没有把别人家的屎放到自己家马桶里冲的吧。下次自己消化	1
让你新注册个账号来诋毁是吧	1
没妈的玩意	1
你是不是不行?打半天都打不出来	1
你特么微信叫大侠啦啦，贴吧也叫一样的，是不是有毛病	1
肯定是有的，真吃的会急，不吃的也会急着切割，到底还是急了	1
她留学不是她家里人出钱？你出啥钱？脑子坏啦。	1
他的视频就知道他最喜欢给xxn撑腰	1
这种xxn不可能健身的，162/143腰上那一圈割下来能炼一大锅油	1
你奶奶滴，非要等人多才开始是吧	1
就是这种四两拨千斤的感觉，一边泰然自若，一边嘤嘤狂吠，就跟往她嘴里塞湿抹布一样，让她失态，让她呕吐	1
逆蝶老了没工作能力了，那赶紧把逆蝶送去火化吧	1
你也挺可怜的，你不说我还以为你家现在就你一个人了	1
不出来帮乘务员说两句吗？你也是乘客xxn又不能把你怎么样	1
理智救不了国男	1
你和楼主倒都是纯种低㴰	1
你这种在种植园的黑奴里是每天晚上都要被使用的	1
本鼠鼠当时不好骂他，现在想想就感觉像吃了苍蝇一样恶心，现实中遇到这种人也真是晦气	1
都给你牛魔完了是吧	1
这b特效越看越唐，不知道还以为是谁家脑瘫跑出来了	1
4，飞盘高手2的升级版，堵在门口后死活不让我端过去，一定要自己端，然后啪的一下没接稳摔了，你他妈真有毛病啊？	1
的直接就说长的一般六分，虚荣的就说化妆好看，他来个化妆刚及格可能是丑的自己都骗不了自己了	1
后来的剧情真有点儿溺智了之前感觉还行	1
孙吧的小丑是真的多 一群废物看楼主来波教学局	1
啥意思，你纹身给自己+buff了？纹身了你就不是臭打工的？难绷	1
直接把结果发出来得了，不是谁都像小丑一样有时间的，	1
不如让他打你一下保研多香 我这里就是儿科主任把一个在icu的研究生掐住脖子按在墙上 这个研究生就保博了	1
哈哈 骨子里的沸羊羊基因要发动咯	1
xn你也别删评奥，看明天是打男拳的人多还是觉得你魔怔的人多	1
出卖自己的灵魂和原则并不丢人，丢人的是没能卖一个好价钱	1
死了姆的这男的，真即把下头，上来直接怼着问感情史智商低情商也低，不会聊天建议重开，就这闹颤水平还搁网络上找对象	1
你不会觉得这人真能上高中吧？	1
真把自己当公主了？	1
整天满身的劣质香水味还往男人身边凑，谁多看你一眼了吗？长得真有创意，活得真有勇气！你活着浪费空气，死了浪费土地，半死不活浪费人民币！	1
你自己跳吧，别出来当答辩了	1
女的无非P瘾犯了呗，你喜欢就拿下，不喜欢就别跟她说话不就得了	1
反转了，他舍友是你未来的爹	1
透的洋批越多不就越显得洋批廉价么	1
前一天的晚饭都要吐出来咯	1
心疼啥，已经违规纵容。都已经骑脸上拉屎还是以对面是to而给予超柜待遇	1
魔批是这样的	1
骚刚之所以叫骚刚，是因为他拉史巨臭，而且有很大概率触发不冲厕所这个技能，每次兄弟们开门都能看到一坨横在那块，骚刚从来不刷厕所，都是等着兄弟们服务他	1
看气了，真踏马孬种	1
p的还行	1
先籹到处都有	1
要我说，成年了我爱骂谁骂谁，和我又没有球样的关系	1
惟其如此，失望和孤单的时候，我才可以不掉眼泪，不起波动，微笑告诉自己，不是你对我不好，而是爱情本来就是虚妄的，它曾经有多热烈，也就有多寂寞。	1
xxn嘎嘣脆	1
她是畜生，你也有点fv	1
无聊，我要看到马卡洛夫血流成河	1
孙吧是用来拉屎的，不是让屎给自己镀金的	1
你父母身体条件要是还行就赶紧要一个吧	1
校园固炮，随叫随到	1
本来想破口大骂你两句的，转念一想我就算赛博开除你组棕十八代了你也该幸福幸福该曹丕曹丕而我还是个这辈子卡在这里的枸辟鼠人，损人不利己不如与人为善，还是祝你幸福吧	1
但这只是一个废物的诞生罢了，只是对于一个小家庭来说是个大事	1
滚蛋，不许跪	1
花你钱了？	1
祝您下半生在医院享尽清福。	1
赛博丁真好歹是自己靠剪辑技术和话术能力吸引纯不懂的群体，丁真是个啥。	1
逆天xxn 一个店名给它看生理不适了	1
透的时候让她叫你baba就行了	1
你真是比垃圾袋都还能装	1
要是以后你对象不天天八抬大轿供着你出门 碗筷都是日本人洗过七遍的 家门口都有个英国伦敦口音的管家看门 我都看不起你 大傻缺	1
孙吧没有牛头人，牛头人滚出孙吧孙吧只有小丑	1
ghg啊一句话就送走了全世界的女性上天堂，其中还有她妈妈。	1
看见别人有浮木就急了	1
私募中医粉别恶心人了	1
小鬼没这耐心	1
老东西还怪会刷流量勒	1
你怎么说话这么装？五星天皇？	1
卧槽，羡慕你的才华，我看到他属地云南只想到让他贩毒	1
这不是⛵？什么时候孙吧鉴别能力这么低下了？	1
下跪了，求求你把v给我吧，我见第一眼就爱上了你，你是我人生中的灯塔，照射我前行的道路，一天看不见你我就感觉窒息，整天昏天黑地的生活着，你就是我的明天，没有你我的世界是不会开花的	1
楼主分明都对这女的没意思了还要和她纠缠这么久，果然还是锁死最好	1
这种人就属于不会做人，将来上了社会有的是人教他怎么做人	1
怎么不把你气死呢，是不是欠收拾了	1
世界一滩臭水，就是你的旁观无所作为所致。	1
