text	label
哈哈哈，还真把自己当个人了，明明就是条狗	1
李姓男子，我第一反应就是李广恒	1
最近那个微妙商学院广告多到爆追个剧都被打断	1
老美总说美国优先，仔细想想也没错啊，他是美国人啊	1
、报过小白训练营没钱继续深造。微淼之前也是一直叫我报6998的班，我没理	1
明明很难受 为什么要这样。。	1
自尊心高的偷东西就还要顾及他的脸面？	1
真厉害哦，说吧，钱多多花了多少钱	1
是不是要开始报复学生了	1
有种自己全部喝完，小日本非人哉	1
今天也观看了直播猛虎下山啊	1
偷东西，本来就是犯错，跟年龄无关	1
偷国人惯用伎俩罢了	1
中了两枪麻醉针之后还能咬爆车胎，不愧是百兽之王！	1
一般来说，商标注册人有权禁止任何其他人未经其许可擅自在同一种或类似商品上使用与其注册商标相同或者近似的商标。但很显然，两个商标的近似性很小以至于没有，就不存在侵权的说法。	1
封校？河北：笑死我们就不开学！	1
心理素质不行还偷窃	1
说实话，韩国干出点啥事我都不惊讶	1
各位网友很公正了	1
好无聊的人啊哈哈	1
球迷的加油声导致韩国队输球？	1
我竟然觉得老虎很可爱。。。	1
武松是真的不容易	1
幕刃送过去喂老虎	1
想笑，骗子遇到祖师爷了。	1
吐槽大会：我有好多槽想吐不能吐	1
遵纪守法的事她真是一点都不干	1
还是腾讯牛掰啊腾讯那才叫垄断了就是没人管。	1
不能说一模一样吧 可以说毫不相干	1
直播结束了姐妹们	1
也就是疫情，儿子接受采访待了口罩...	1
hg现在还没反应过来自己的舔狗地位吗	1
学校领导绝对是放屁，没有问题学生没事干嘛去造谣，再说了造谣违法有谁愿意放弃大学时光去蹲监狱	1
16年的读书生涯中，想必大家都遇到过这样的事吧，不让学生发声。	1
真是一个粗野的家伙	1
这……相差甚远，好难过让我哭一会	1
他怎么会在乎他爹的名誉。他在乎的是不是能在诈出点钱来！	1
好怕下一个制裁我	1
家属有什么脸让超市给小偷个台阶下。。。“过街老鼠”人人喊打不知道么。。。你头偷东西不对，我拦你不该？？什么逻辑	1
我真的还想再活500年！	1
给它准备吃的然后放归大自然	1
喝中药也这样的话妈妈一定会夸的	1
……他尝出啥味儿了吗？	1
不还是因为辛巴卖假货？打假人没有了，辛巴更可以明目张胆卖假货了	1
这。。。什么时候轮到我啊，好期待啊	1
换了总统也忘了感恩？	1
有这闹腾的功夫自己百度一下早查明白了。问商家化学知识本来就问错人了，而且人家还不是做皮蛋的，是买早餐的。不依不饶就更恐怖了。给孩子全是错误示范。	1
打20年工然后去三线城市	1
一掌拍碎车窗玻璃太特么秀了	1
是非对错不能以老幼贫富来判定，法律就是法律，法律面前人人平等。	1
是山上没猎物了吗？唉人类少上山抓小动物吃，给人家留一口吧	1
我想着 调剂去这个学校的学生应该不多了吧	1
这一家人真正正正的把不要脸发挥到了极致	1
人人喊打的腾讯呢	1
这如果呛到，可能直接就呛死了	1
学理财买基金，基金哪家好，诺安蔡经理	1
这就是传说中的偷鸡不成蚀把米	1
我们一起打苗苗，一起苗苗苗～哦，你们没有苗苗，那允许你们看我们打苗苗	1
又说女权，又不让牵手……不是纯哥们嘛……	1
哈哈哈我也想被制裁	1
不能过的了，一辈子都不能过估计	1
这比国外得奖还有分量！	1
害，第二条评论说的太对了，无财可理啊	1
刚开始的爱情是美好的！处长了便知道是什么了。	1
宰了东北虎会怎么样	1
好多自媒体真的烦 就是靠瞎写瞎带舆论挣钱	1
又说是谣言又说调查笑死	1
我觉得对阿里还说这是一种福报	1
香奈儿侵权华为，屎一样	1
这种老虎只能送去动物园，不能放大自然了	1
改名吧，不要叫国足了，叫知足吧	1
打扰了，三线城市入门都好难。	1
难道是韩国人加油声小了，才输的。那你们要深刻检讨一下，为啥在主场加油声小了，输给中国队了。	1
居然是前一百，不会吧，中国男足啊	1
里面才是她真正的家	1
职业打假人难道就不是他自己找人演的啊，都是为了流量骗钱而已。。。	1
可能是商家退款的时候附赠了怜悯的表情	1
意思长沙算三线的话，我也算是财富自由了？？？	1
我严重怀疑wb是日本的了……这么多讨论居然还不配上热搜………	1
地球承受不住啊，带到太空去排吧🙃	1
明目张胆的说要钱	1
棒子真是小人民族 淋漓尽致的展现	1
呵 五大国有银行不算垄断吗 中石油不算垄断吗 中国的水电气也不算垄断吗 真是欲加之罪 何患无辞	1
这种又傻又轴的男的，他老婆还没和他离婚也是简直了！	1
美韩关系其实和中朝一样吧,算是鲜血凝成的友谊.	1
刚毕业吗？当然不陪	1
